"Creator","Topic","Hook","Transcribe"
"Varun Maya","World's First Trillionaire","Breaking news. Elon Musk has just become the world's first trillionaire. To put it into perspective, he is now worth more than the next five richest people on the planet combined,","Breaking news. Elon Musk has just become the world's first trillionaire. To put it into perspective, he is now worth more than the next five richest people on the planet combined,with his net worth being larger than the entire GDPs of many countries. On top of it, he even created about five thousand new millionaires, with around four hundred of them being worth over one hundred million dollars individually. The reason? SpaceX just pulled off the biggest IPO in history,with its valuation approaching over two trillion dollars. But here's the thing many don't understand. Almost all of Elon's wealth is just paper money, meaning he can't just spend it like cash. In fact, if Elon tried to sell all of his shares tomorrow,he probably wouldn't even get anywhere close to a trillion dollars because the act of selling itself would crash the entire market. Still, it's a remarkable feat, considering just over a decade ago, SpaceX used to be a company that couldn't even land a single rocket"
"Varun Maya","Apple's Siri AI Fix","Apple basically gave up trying to fix Siri on their own, so they called Google because they just unveiled a completely rebuilt Siri called Siri AI. But the real story is what's underneath. Apple confirmed a deep collaboration with Google to build","Apple basically gave up trying to fix Siri on their own, so they called Google because they just unveiled a completely rebuilt Siri called Siri AI. But the real story is what's underneath. Apple confirmed a deep collaboration with Google to build the next generation of Apple's own foundation models. And while they're staying pretty vague on the specifics, it's very likely that Gemini is doing a lot of the heavy lifting behind the scenes. Officially, though,these are still Apple's models running on your device and on Apple's private cloud. And honestly, the Google collab might be the smartest move they've made in a while because old Siri was genuinely frustrating. You'd ask it one thing and it'd go, Do you want me to search the web for that? when answering the question was the whole point. Now, Apple says the new Siri can actually hold a conversation, go back and forth, remember what you just said, pull live info from the web, even read what's on your screen. So instead of handing you off to ChatGPT or search every few seconds, it does things itself. And look, Apple has made these exact promises before, and we all know how that went, so I'm taking it with a pinch of salt.But here's why this time feels different. Apple isn't building the models entirely alone anymore. There's a partnership with Google behind it now, and that's some of the best AI in the game right now. On top of that, Apple also says it can dig through your old photos and notes just by asking, write and edit text anywhere you type and take actions inside your apps. And the most important part is all of it still runs private on your device or their cloud with Apple's privacy. So did Apple just save Siri or did Google?"
"Varun Maya","Ai Into Cricket","This Indian company is putting AI into cricket to automate the whole process of running an entire tournament. But to understand it, we have to look back at how tournaments are run traditionally. So think of running a cricket tournament, kinda like running a company. > Generated by WayinVideo | https://wayin.ai/wayinvideo/","This Indian company is putting AI into cricket to automate the whole process of running an entire tournament. But to understand it, we have to look back at how tournaments are run traditionally. So think of running a cricket tournament, kinda like running a company. You need people who can handle the logistics, book the grounds, manage travel and hotels, manage even the player contracts, and basically keep the whole thing running. Your match then is kinda like your final product or service that you're selling to the customers. But now, Madhya Pradesh Cricket Association has just partnered with Emergent Intelligence AI to automate the entire backend that we just discussed. And the upcoming Madhya Pradesh League will be the first example of this working at scale. And mind you, this is just one league right now. Soon, as AI keeps getting better and better, we might start seeing many more leagues being run using AI. Overall, I think it's pretty interesting. Running an entire cricket tournament using AI and doing it in a country where cricket is almost a religion, huge kudos to Emergent AI"
"Varun Maya","China just dropped Kimi K3,","China just dropped Kimi K3, and it surpasses even Fable 5 at UI design. Just look at these yourself. Chinese labs are finally back, and they're catching up to frontier models. Someone even built this CS:GO x Portal clone, and it used just $3. > Generated by WayinVideo | https://wayin.ai/wayinvideo/","China just dropped Kimi K3, and it surpasses even Fable 5 at UI design. Just look at these yourself. Chinese labs are finally back, and they're catching up to frontier models. Someone even built this CS:GO x Portal clone, and it used just $3. 24 in API usage, about three times cheaper than Fable. Another built a fully playable Animal Crossing game in a single shot. It even one-shotted an entire fully functional macOS style UI, complete with animations and everything. Anyways, Kimi K3 is a massive two point eight trillion parameter MoE model with native vision and a one million token context window. On top of it, it's also the world's first open three trillion class model and introduces Kimi Delta attention architecture that enables up to six point three times faster decoding in million token contexts, and attention residuals that deliver roughly twenty-five percent higher efficiency at less than two percent additional compute. Simply put, it's an open-source Fable 5-class model at Sonnet-level pricing. And while it still ranks lower than other frontier models on some benchmarks, it feels like the era of the Chinese labs being far behind frontier labs is officially over. Kimi K3 is not just on par with the modern public frontier models, but it might also go down as the one Fable 5-level model whose open weights are on the web. It's currently live on kimi. com with open weights coming by July twenty-seventh."
"Varun Maya","HarryPotter Book","Someone just built Tom Riddle's diary from Harry Potter using Claude. A developer named Maxime on X turned a Remarkable tablet into the diary from Chamber of Secrets. You write on the page with your stylus, your ink fades away, and a reply appears in flowing handwriting.","Someone just built Tom Riddle's diary from Harry Potter using Claude. A developer named Maxime on X turned a Remarkable tablet into the diary from Chamber of Secrets. You write on the page with your stylus, your ink fades away, and a reply appears in flowing handwriting. Under the hood, the tablet snapshots your handwriting, sends it to an AI that can read images, and streams the reply back to the E-ink screen. Maxime built it with Claude's Fable model and even open-sourced the whole project on GitHub, so anyone with some patience and creativity can build their own. For example, a filmmaker named Jay made his own version for iPad. It's not even an app, it's a single HTML file that runs in any browser. And to be frank, this is my favorite thing about AI right now. For decades, ideas like this stayed stuck in people's heads because building them took months of engineering, and now one curious person with a weird idea can just make it. So what's the one fictional gadget you'd build if you could? Tell me in the comments"
"Varun Maya","Fable 5 ban","The US government just forced Anthropic to shut off its most powerful model, Mythos and Fable-5, for everyone. Yesterday, Anthropic got a letter from the government citing national security. It ordered them to suspend access to two of their models, Fable-5 and Mythos-5, for any foreign national inside or outside the US,","The US government just forced Anthropic to shut off its most powerful model, Mythos and Fable-5, for everyone. Yesterday, Anthropic got a letter from the government citing national security. It ordered them to suspend access to two of their models, Fable-5 and Mythos-5, for any foreign national inside or outside the US,

including their own employees. The thing is, you can't really run a model that some people can use and others can't on the same servers. So to actually comply, Anthropic had to switch the models off completely. Every customer, everywhere, hundreds of millions of people.

Now, the government believes someone has found a way to jailbreak Fable to get around its safety guardrails. Anthropic says they reviewed the technique, and it basically amounts to asking the model to read a specific code base and fix any software flaws.

Something they say other public models, like GPT 5. 5, already do every single day. But here's the part I keep thinking about. Anthropic is complying with the order, but they're also publicly pushing back on it.

They're saying if one narrow jailbreak like this is enough to pull a model used by hundreds of millions of people, that same standard would basically freeze every new AI release across the entire industry, which lands us on a question we've never really

had to answer before: who gets to decide when an AI model is too dangerous to stay online, and what actually counts as proof? Anthropic says they think it's a misunderstanding and they're working to bring it back. I'll keep following this one, so make sure you subscribe."
"Varun Maya","Elon Musk vs Sam Altman","Breaking news. Elon Musk just lost his lawsuit against OpenAI. What's wild is that the whole thing was decided within ninety minutes, and it wasn't even about whether OpenAI was guilty or not, but if Elon had waited too long to sue them.","Breaking news. Elon Musk just lost his lawsuit against OpenAI. What's wild is that the whole thing was decided within ninety minutes, and it wasn't even about whether OpenAI was guilty or not, but if Elon had waited too long to sue them.

Turns out there's something called a statute of limitations under US law. It's basically a deadline by which you must file a lawsuit after becoming aware of something. For Elon's claims, that deadline was three years, and the jury found that he sued only after that deadline had passed.

Meaning OpenAI, Sam Altman, Brockman, and Microsoft will not be legally responsible for anything Elon Musk has accused them of doing. OpenAI's lawyer even said that Musk isn't even trying to protect humanity, but just wants to slow down arrival after launching his own AI company,

xAI. Now, obviously, Elon says he'll appeal the verdict, so we'll see how it goes. Having said that, keep in mind that this doesn't automatically mean that either party is innocent,

only that Elon sued too late."
"Varun Maya","Speed 3G Video Live Stream","You've probably seen this clip of Speed streaming from a helicopter over the ocean in Antigua with zero lag and perfect quality. We still ain't lagging in the middle of the ocean. It ain't nothing around us.","You've probably seen this clip of Speed streaming from a helicopter over the ocean in Antigua with zero lag and perfect quality. We still ain't lagging in the middle of the ocean. It ain't nothing around us.

Now, I guarantee you watched that and thought, Wow, Starlink is insane. But turns out the Starlink in that heli was completely dead. That entire stream was running on 3G. Yeah, 3G.

So when you stream IRL at this scale, you're at the mercy of radio physics. Everyone assumes 5G is the holy grail, but 5G cell towers actually physically tilt their antennas downward to blanket the streets. The moment you go up in the air, you exit the coverage zone.

Older low-frequency networks, like 3G running on Band 5 at eight hundred and fifty megahertz, operate completely differently. Because there are no buildings over the open water to obstruct the signal, that low-frequency radio wave travels for miles and has a massive vertical ceiling,

reaching up to one thousand feet. Since the pilot kept the helicopter low, around one hundred to two hundred feet above sea level, they were cruising in the absolute sweet spot. But how do you pull a flawless 1080p feed from 3G?

Well, Speed's cameraman and producer, Slips, broke down the math behind this. You only need roughly one point five megabytes per second to send a clear 1080p feed. So instead of relying on one connection,

they actively bond six different modems at the same time. The average speed on a single 3G network might not be great, but when you multiply it by six, it provides more than enough bandwidth, burning through roughly one point five gigabytes of data per hour per transmitter. The logistics required to power this on the move are insane.

Slips manages a massive operation, traveling with twenty bags of gear everywhere they go, and relying on tons of V-mount batteries to keep the rigs alive. The team has completely perfected this flow, working behind the scenes every single day to ensure

these streams consistently hit a ninety-eight percent uptime. Think about this for a second. No one in the history of broadcast has pulled off live IRL streaming across this many countries in real time,

including from a helicopter over the open ocean. Speed's production team is doing things that broadcast networks with big budgets literally can't."
"Varun Maya","Adobe Prodcut Launch","Adobe just launched a full-blown agentic OS at their latest summit, and it seems to run all your campaigns on its own. Called CX Enterprise, it's basically an end-to-end agentic AI system that handles the entire customer life cycle on its own.","Adobe just launched a full-blown agentic OS at their latest summit, and it seems to run all your campaigns on its own. Called CX Enterprise, it's basically an end-to-end agentic AI system that handles the entire customer life cycle on its own.

Think of it as your AI marketing manager. At its core, there is something called a CX Enterprise Coworker. You just give it a goal, and it coordinates the right agents, assembles the right content and audience data, runs the campaign, and even monitors the results.

Alongside it, a brand intelligence system continuously learns from those campaigns and real-world feedback like approvals, rejections, and review cycles. So every piece of AI-generated content stays on-brand even as the brand itself evolves. Plus, underneath all of this sits a governance layer

that makes sure all agent work is reliable, auditable, and brand safe. Adobe has also built a skills catalog, so agents can grab pre-built instructions and use them for specific tasks. And to top it all off,

Adobe now has their own MCP servers and developer tools, so you can plug this agentic system into whatever tech stack you are already using. Having partnered with AWS, Google, Microsoft, OpenAI, and others already, it's interesting to see Adobe trying to fix one

of the biggest problems enterprises face today: attribution. Yes, everyone has multiple AI tools running, but they don't talk to each other. There's no shared data, and nobody can audit what the AI actually did. So when you run ten different campaigns,

you have no idea which one actually drove the purchase. But with this, Adobe might just have fixed it once and for all"
"Varun Maya","OpenAI just bought a tech talk show called TBPN.","Breaking news. OpenAI just bought a tech talk show called TBPN. We really are in the era where even the company building AGI thinks distribution matters more than ever. So TBPN is a daily online talk show that mostly covers tech news,","Breaking news. OpenAI just bought a tech talk show called TBPN. We really are in the era where even the company building AGI thinks distribution matters more than ever. So TBPN is a daily online talk show that mostly covers tech news,

kind of competing with Bloomberg and CNBC. They launched in October 2024, started live streaming three hours a day on weekdays. According to The Wall Street Journal, TBPN averages around seventy thousand viewers per episode across various online platforms.

That's not a huge number, but their guest list includes the likes of Mark Zuckerberg, Satya Nadella, and Sam Altman. The show has become popular among Silicon Valley power players, who see it as more supportive of their industry than traditional news outlets.

The people actually building the future watch this show, and that's the point. It's not about how many eyeballs you have, it's about which eyeballs. The numbers are kind of insane, too, for an eleven-person company. The WSJ reports they generated around five million dollars in ad revenue last year and were on track to exceed thirty million dollars in 2026 while being profitable.

Though the acquisition terms weren't disclosed, OpenAI says TBPN will remain editorially independent, keeping control over programming, editorial decisions, guest selection, and production. But the team will also report to OpenAI's Chief Global Affairs Officer and help with company communications and marketing. What this actually tells you is simple.

In the AI era, distribution is everything, and the part that matters isn't how many people follow you, it's whether the right people trust you."
