url,angle,type,notes,
https://huggingface.co/blog,tech,ai-research,Has RSS,
https://huggingface.co/papers,tech,ai-research,Papers index (do not hardcode a date),
https://www.oreilly.com/radar/,tech,analysis,Check feed,
https://dailyaifeed.com/,market,aggregator,,
https://alphasignal.ai/editorial,tech,newsletter,Try /feed,
https://analyticsindiamag.com/,market,ai-news,India coverage,
https://techcrunch.com/,market,tech-news,Has RSS,
https://aibusiness.com/,market,ai-news,Has RSS,
https://aidailybrief.ai/,market,newsletter,Try /feed,
https://developers.googleblog.com/,tech,vendor-blog,Has RSS,
https://developer.nvidia.com/blog/,tech,vendor-blog,Has RSS,
https://blogs.microsoft.com/,tech,vendor-blog,Has RSS,
https://openai.com/news/,tech,vendor-blog,Check feed,
https://claude.com/blog,tech,vendor-blog,Check feed,
https://engineering.fb.com/,tech,vendor-blog,Has RSS,
https://www.bloomberg.com/technology,market,tech-news,PAYWALL - metadata only,
https://the-ken.com/,market,analysis,PAYWALL India - metadata only,
https://www.reuters.com/technology/,market,tech-news,Respect robots.txt,
https://www.theatlantic.com/technology/,culture,tech-culture,PAYWALL - metadata only - documentary tone,
https://thedailybrief.zerodha.com/,market,finance,India markets,
https://deepmind.google/discover/blog/,biology,ai-research,AlphaFold / biology,
https://www.nature.com/natmachintell/,biology,journal,Metadata only,
https://www.biorxiv.org/collection/bioinformatics,biology,preprint,bioRxiv,
https://www.quantamagazine.org/,biology,science-journalism,Narrative science - has RSS,
https://press.asimov.com/,biology,essays,Biology + computation,
https://chanzuckerberg.com/blog/,biology,research-org,CZI science,
https://aeon.co/feed.rss,philosophy,essays,Mind/consciousness,
https://nautil.us/feed/,psychology,essays,Science + psychology,
https://www.noemamag.com/,philosophy,essays,Philosophy + tech + geopolitics,
https://plato.stanford.edu/rss/sep.xml,philosophy,reference,SEP changes,
https://www.astralcodexten.com/feed,philosophy,blog,First-principles,
https://scottaaronson.blog/,philosophy,blog,CS + philosophy,
https://joecarlsmith.com/,philosophy,essays,AI agency,
https://www.alignmentforum.org/,philosophy,forum,Alignment - has RSS,
https://simonwillison.net/atom/everything/,tech,blog,Real-time model analysis,
https://www.interconnects.ai/,tech,newsletter,Inside-the-labs,
https://newsletter.eng.raschka.com/,tech,deep-dive,ML deep-dives,
https://lilianweng.github.io/,tech,deep-dive,Research explainers,
https://thegradient.pub/,tech,analysis,Has RSS,
https://jack-clark.net/,tech,newsletter,Import AI,
https://stratechery.com/,market,analysis,PAYWALL - metadata only,
https://arxiv.org/rss/cs.AI,tech,preprint,arXiv AI,
https://arxiv.org/rss/cs.CL,tech,preprint,arXiv comp linguistics,
https://arxiv.org/rss/cs.LG,tech,preprint,arXiv ML,
https://www.carbonbrief.org/,climate,science-journalism,Data-driven climate,
https://grist.org/,climate,journalism,Climate + society,
https://heatmap.news/,climate,journalism,Energy + climate + AI compute cost,
https://spectrum.ieee.org/,tech,journalism,IEEE - energy/compute angle,
https://www.themarginalian.org/feed/,psychology,essays,Meaning + attention,
https://psyche.co/feed.rss,psychology,essays,Psychology + philosophy of mind,
https://www.apa.org/news,psychology,research-org,Psychology research,
https://restofworld.org/feed/full/,culture,journalism,AI outside the West - key differentiator,
https://www.404media.co/rss/,culture,investigative,AI underbelly - deepfakes/scraping,
https://hyperallergic.com/feed/,culture,art,Art world vs generative AI,
https://pitchfork.com/rss/news/,culture,music,Music + technology,
https://thequietus.com/feed,culture,music,Music culture,
https://garymarcus.substack.com/feed,critic,newsletter,Leading AI skeptic,
https://www.dair-institute.org/,critic,research-org,Bender / DAIR - has blog feed,
https://www.wheresyoured.at/rss/,critic,newsletter,Ed Zitron - sharp critique,
https://www.technologyreview.com/feed/,tech,journalism,MIT Tech Review - long reads,
https://www.wired.com/feed/rss,culture,journalism,WIRED long reads - documentary tone,
https://www.theverge.com/rss/index.xml,tech,journalism,Verge features,
https://www.semafor.com/technology,market,tech-news,More open - try /rss,
https://www.wsj.com/tech,market,tech-news,PAYWALL strict - metadata only, may block
https://www.ft.com/technology,market,tech-news,PAYWALL strict - metadata only, may block
https://www.theinformation.com/,market,investigative,PAYWALL very strict - likely BLOCKED, keep as radar
